BugNumber,Title,Component,Severity,BugType,StepsToReproduce,ActualResult,ExpectedResult,Status,Role
1,School Name Fields Accept Special Characters & Numbers,Auth / School Onboarding,P2,Input Validation,"Open School Onboarding. Enter special characters and numbers in Full Legal Name and Short Name. Click Continue.",Field accepts special characters and numbers.,Only alphabetic characters should be allowed.,Fixed,School
2,Affiliation Number Validation Missing,UI — School Registration,P2,Input Validation,"Enter alphabets and special characters in Affiliation Number. Save.",Invalid values are accepted.,Affiliation Number should accept only valid alphanumeric values as per the required format.,Fixed,School
3,'Other' Board Option Missing Input Field,UI — School Registration & Edit Profile,P1,UI / Missing Component,Select Other in Board selection.,No input field appears.,A text field should appear to allow the user to enter the board name.,Fixed,School
4,School Type Text Overflow,UI — School Registration,P2,UI Layout,Open School Type selection.,"""Private Unaided"" goes outside the layout.",Text should be displayed properly within the UI.,Fixed,School
5,Continue Button Causes Infinite Loading & Logout,Auth / School Onboarding,P0,API / Loading,"Fill onboarding details. Click Continue. Reopen the application.",Loader continues indefinitely and the user is logged out.,"User should proceed to the next screen without being logged out. Note: Not able to select the start and end date of admission.",Fixed,School
6,Wrong Screen Opens from Quick Action,UI — School Dashboard,P1,Navigation,"Open Dashboard. Click Add Student under Quick Actions.",Admission CRM screen opens.,Student Details screen should open.,Fixed,School
7,Announcement Screen Header Missing,UI — School Dashboard / Announcements,P2,UI / Missing Header,Click Announce from Quick Actions.,Header is not displayed.,Screen header should be visible.,Fixed,School
8,Report Screen Header Missing,UI — School Dashboard / Reports,P2,UI / Missing Header,Click Report from Quick Actions.,Header is missing.,Report screen should display the header.,Fixed,School
9,Incorrect Analytics Data,Analytics,P1,Data / Logic,"Login with a newly created school. Open Analytics.",Attendance Trend shows 4.2%.,Analytics should be empty or reset for a new school.,Fixed,School
10,Teacher Assignment Screen Overlapping,UI — Teacher / Assignments,P1,UI Layout,"Add a teacher. Click Assign Task.",UI overlaps and functionality does not work.,Screen should display correctly and assignment should work.,Fixed,School
