Module,Feature Category,Feature Name,Sub Feature,Description,Primary Role,Secondary Roles,Navigation Path,Current Status,Completion Percentage,UI Available,Backend Available,API Connected,Database Ready,Offline Support,Push Notifications,Stub Present,Stub Details,TODO Present,Uses Dummy Data,Uses Mock API,Hidden Feature,Unused Code,Platform,Dependencies,Priority,Business Criticality,Recommended Action,Missing Capability,Suggested Enhancement,Industry Standard,Competitor Reference,Estimated Development Effort,Notes
Authentication,Auth,Login (Password),Email/mobile + password login,School admin & teacher credential login,School Admin,Teacher,Unauth → AdminAuth → AuthedFlow,✅ Complete,90,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,"All (KMP shared, Android, iOS, Web)","Ktor, JWT, Exposed",High,Critical,-,-,Standard auth,"PowerSchool, Infinite Campus",S,"Real JWT auth with refresh token, login throttle, password hashing (bcrypt)",
Authentication,Auth,Login (OTP),Mobile OTP login for parents,Parent enters mobile → OTP → JWT session,Parent,-,Unauth → ParentAuth → OTP → AuthedFlow,✅ Complete,90,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,"All (KMP shared, Android, iOS, Web)","Ktor, JWT, MSG91, Fast2SMS, Twilio, WhatsApp",High,Critical,-,-,OTP-based auth,"ClassDojo, Remind",S,"Multi-provider OTP delivery (MSG91, Fast2SMS, Twilio, WhatsApp, SMS, Email, Console)",
Authentication,Auth,OTP Delivery,Multi-channel OTP delivery,"Console, MSG91, Fast2SMS, Twilio, WhatsApp Cloud, SMTP email",School Admin,Parent,Server-side OTP service,✅ Complete,85,No,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,Server,"Ktor, Exposed, OTP providers",High,Critical,-,-,OTP delivery,"Remind, TalkingPoints",S,6 provider strategies with delivery dispatch + attempt tracking,
Authentication,Auth,Signup (Parent),Parent self-registration,Mobile OTP → name → password → JWT,Parent,-,Unauth → ParentAuth → Signup,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"Ktor, JWT",High,Critical,-,-,Parent signup,ClassDojo,S,,
Authentication,Auth,Register School,School registration with admin account,"School name, address, board, admin credentials → JWT",School Admin,-,Unauth → AdminAuth → RegisterSchool,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"Ktor, JWT, Exposed",High,Critical,-,-,School registration,PowerSchool,S,,
Authentication,Auth,Change Password,Authenticated password change,POST /auth/change-password with old + new password,School Admin,"Teacher, Parent",Profile → Change Password,✅ Complete,90,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"Ktor, JWT",Medium,High,-,-,Password management,"PowerSchool, Infinite Campus",XS,,
Authentication,Auth,Teacher First Login,Mandatory password change on first login,Teacher must change password before reaching portal,Teacher,-,AuthedFlow → TeacherFirstLogin → Portal,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"Ktor, JWT",Medium,High,-,-,First-login gate,PowerSchool,XS,must_change_password flag from server,
Authentication,Auth,Token Refresh,JWT refresh token flow,POST /auth/refresh with refresh token → new JWT,School Admin,"Teacher, Parent",Automatic via TokenAuthenticator,✅ Complete,90,No,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"Ktor, JWT",Medium,Critical,-,-,Token refresh,Standard,XS,TokenAuthenticator intercepts 401 and auto-refreshes,
Authentication,Auth,Logout,Session destruction,POST /auth/logout → clear local session + server session,School Admin,"Teacher, Parent",Profile → Logout,✅ Complete,95,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"Ktor, JWT",Low,High,-,-,Logout,Standard,XS,,
Authentication,Auth,Biometric Login,Biometric authentication for app login,Fingerprint/Face unlock after first password login,Parent,"Teacher, School Admin",App launch → Biometric prompt,🟡 Partially Implemented,60,Yes,No,No,No,No,No,No,"Platform abstraction exists, Android impl done, no iOS impl yet",No,No,No,No,No,"Android, iOS (stub)",AndroidX Biometric,Medium,Medium,-,-,Biometric auth,"PowerSchool, ClassDojo",M,BiometricAuthenticator.kt common + .android.kt; no iOS implementation,
